QUANTITY RESULTS,,,Response Criterion Probability,,,,,,,,,,
Iteration,Distance,Correspondence,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1
0,-1.00,0.00,50.00,50.00,50.00,50.00,50.00,50.00,nan,nan,nan,nan,nan
0,-1.00,0.10,50.00,49.99,50.00,50.00,49.99,49.51,nan,nan,nan,nan,nan
0,-1.00,0.20,50.00,49.98,50.02,50.00,50.02,49.50,nan,nan,nan,nan,nan
0,-1.00,0.30,50.00,50.00,49.97,50.00,50.00,50.03,nan,nan,nan,nan,nan
0,-1.00,0.40,50.00,50.00,50.00,50.04,49.96,49.54,nan,nan,nan,nan,nan
0,-1.00,0.50,49.95,50.00,50.00,49.95,50.00,50.00,nan,nan,nan,nan,nan
0,-1.00,0.60,50.00,50.00,50.00,50.06,50.00,50.00,nan,nan,nan,nan,nan
0,-1.00,0.70,50.00,49.86,49.93,49.86,50.00,50.00,nan,nan,nan,nan,nan
0,-1.00,0.80,49.92,50.00,50.00,50.00,49.92,49.50,nan,nan,nan,nan,nan
0,-1.00,0.90,50.00,50.00,49.91,49.91,50.00,50.00,nan,nan,nan,nan,nan
0,-1.00,1.00,49.90,50.00,50.10,49.90,50.00,50.00,nan,nan,nan,nan,nan
0,-0.90,0.00,50.00,50.00,50.00,50.00,50.00,49.00,nan,nan,nan,nan,nan
0,-0.90,0.10,50.04,50.01,49.98,50.00,49.99,49.51,nan,nan,nan,nan,nan
0,-0.90,0.20,49.96,50.06,49.94,50.00,49.96,48.54,nan,nan,nan,nan,nan
0,-0.90,0.30,49.94,50.06,50.09,49.97,50.03,49.09,nan,nan,nan,nan,nan
0,-0.90,0.40,50.08,49.96,49.92,50.04,50.00,49.54,nan,nan,nan,nan,nan
0,-0.90,0.50,50.10,50.15,50.05,49.90,50.00,49.05,nan,nan,nan,nan,nan
0,-0.90,0.60,50.00,49.88,49.94,50.06,50.00,48.18,nan,nan,nan,nan,nan
0,-0.90,0.70,49.93,49.93,50.35,50.00,50.00,50.00,nan,nan,nan,nan,nan
0,-0.90,0.80,49.76,50.08,50.16,49.84,50.00,48.58,nan,nan,nan,nan,nan
0,-0.90,0.90,50.36,50.00,49.91,49.91,50.00,48.09,nan,nan,nan,nan,nan
0,-0.90,1.00,49.90,50.50,50.00,50.20,50.00,49.50,nan,nan,nan,nan,nan
